MatchID,Winner,WinChance,Winner_mu,Winner_sigma,Looser,Looser_mu,Looser_sigma
2306783,mousesports,0.457,26.512237457002602,0.8154444045657958,G2,26.963730719586657,0.8141908777214335
2306784,G2,0.53,27.0474599306859,0.8137189282186449,mousesports,26.428252903643433,0.8149442754946709
2306902,Gambit,0.552,26.287862115308503,1.0228689696325552,OpTic,25.282119301659137,0.8355585598404859
2306781,Virtus.pro,0.606,28.54440293230187,0.8173563370672096,Astralis,26.787113298865123,0.831058263577869
2306903,GODSENT,0.654,26.63736138017875,1.0264045317410275,Kinguin,23.819384966687572,1.6534191542248564
2306782,Astralis,0.385,26.902407977413255,0.8295933782833896,Virtus.pro,28.43284118040693,0.8162328699445215
2306904,Gambit,0.655,26.38574906865349,1.0182607458704949,Renegades,23.791524926971313,0.9579060375768562
2306779,Dignitas,0.572,28.20480663878833,0.8078561181606247,G2,26.970923604189608,0.8134423016521757
2306780,G2,0.419,27.074839922655123,0.8125345213424222,Dignitas,28.102297903983175,0.8070824304910232
2306905,FlipSid3,0.459,27.588857786818547,0.8347780716894584,Dignitas,28.00759268537346,0.8064861744803474
2306785,NIP,0.563,27.932367627981733,0.8108385587061249,Astralis,26.82142600813625,0.8289302789480287
2306786,Astralis,0.427,26.927642580401496,0.8276821965833596,NIP,27.830691011195142,0.810028090761774
2306906,Cloud9,0.514,25.583955311894574,0.8089947776819125,OpTic,25.19114548651402,0.8345308070153884
2306279,NIP,0.55,27.91014978254764,0.8097355306387066,G2,26.99489381749175,0.8121866752654077
2306280,G2,0.439,27.094521690928197,0.8113888954675555,NIP,27.811116091745042,0.8089958987414574
2306789,fnatic,0.563,28.123872186592383,0.808735387715779,G2,27.01698613182114,0.8111238880618008
2306790,fnatic,0.573,28.19921336889391,0.8085740031403572,G2,26.941203952865816,0.8109108177618324
2306907,Kinguin,0.271,24.36178107789772,1.610392473163946,FlipSid3,27.449575015236704,0.8331150299306247
2306787,Dignitas,0.604,28.077477986238137,0.8065158731998906,mousesports,26.356909625169187,0.8147952609928114
2306788,mousesports,0.387,26.467387831505732,0.8137367393359412,Dignitas,27.969210455401136,0.8056596379143011
2306908,Gambit,0.553,26.509451782062804,1.0127462612902807,Cloud9,25.505569486370554,0.8087839615322242
2306909,Renegades,0.463,23.919715021628438,0.9538672668433764,Kinguin,24.001236428969523,1.57616441761055
2306881,Astralis,0.499,27.019730745181768,0.8267683995441582,G2,26.852772882486796,0.8103843738821309
2306882,G2,0.489,26.942898960538365,0.8098279942238097,Astralis,26.925962080451328,0.8258314044154289
2306910,Gambit,0.492,26.64753087843762,1.0069900566411338,GODSENT,26.495558014271854,1.0202279022150438
2306912,GODSENT,0.442,26.65042962003904,1.0137715925255193,FaZe,27.269021877481407,0.8383773668120436
2306913,FaZe,0.541,27.355279860988464,0.8374616385439221,GODSENT,26.52469486500895,1.008296202888353
2306911,Gambit,0.674,26.73772959944721,1.0029881824346638,Renegades,23.838718948671243,0.9511684569328761
2306933,Heroic,0.618,27.7675719047477,1.0969407282833676,VG.CyberZen,25.449307413588446,1.75880157626562
2306914,GODSENT,0.473,26.667257689734395,1.0024413548356441,Astralis,26.830009593010434,0.8249018824432968
2306915,GODSENT,0.489,26.803922925655193,0.9968819655673435,Astralis,26.73716353465871,0.8240584736129224
2306879,Envy,0.395,26.32024734226188,0.8109270998422056,NIP,27.703731887040572,0.8081075733831231
2306880,NIP,0.591,27.775975965893615,0.8080427731482596,Envy,26.247503571522984,0.8108021847793796
2306883,mousesports,0.414,26.572320446443488,0.8128035541022801,NIP,27.672491517196512,0.8072466929521972
2306884,NIP,0.573,27.747631161811828,0.8071154903619079,mousesports,26.496153706072235,0.8125520488095924
2306887,LDLC,0.449,27.69787390921891,3.4227541796831438,GODSENT,26.679476510128143,0.9937218704950839
2306888,Kinguin,0.257,24.421720176902014,1.5512793270720573,Rogue,25.807582077508783,3.6899422561386594
2306820,SK,0.368,26.05555817396361,0.8094269094754009,Dignitas,27.857256702583733,0.8047537875820853
2306821,Astralis,0.433,26.840884173591398,0.8229534281950746,NIP,27.64808902461155,0.8064163565159991
2306822,OpTic,0.414,25.30133199384629,0.833095041697095,mousesports,26.391638114888572,0.8116545099259078
2306823,FaZe,0.429,27.463191201780678,0.8360160282992972,Virtus.pro,28.330278416563694,0.8153049169850384
2307008,Astralis,0.552,26.922516100542158,0.8223849081425108,SK,25.976560675471408,0.8091581458225433
2307009,OpTic,0.36,25.422628117779166,0.831484724735887,FaZe,27.341051454108495,0.8343308387580465
2307037,Muffin Lightning,0.313,24.442889550338766,3.4355750954762825,Cloud9,25.400196207199986,0.8091721813820433
2307038,Immortals,0.638,26.664107933676362,0.9160121780776024,TSM,24.36521916038752,0.9271115885028167
2307010,OpTic,0.401,25.53458001267315,0.8300758066262192,Astralis,26.812976977715262,0.8212014727729884
2307018,TYLOO,0.702,28.888605846065644,1.214050586430405,VG.CyberZen,25.20503385485676,1.7253128988396063
