MatchID,Team1,Team2,Team1Odds,Team2Odds,Winner,Team1winchance,Team2winchance,w_ts_after_game,l_ts_after_game,w_ts_before_game,l_ts_before_game
2340864,337,211,9.0,1.04,2,0.487,0.513,"trueskill.Rating(mu=28.352, sigma=0.804)","trueskill.Rating(mu=27.764, sigma=1.533)","trueskill.Rating(mu=28.269, sigma=0.804)","trueskill.Rating(mu=28.074, sigma=1.563)"
2340839,343,56,3.4,1.3,2,0.36,0.64,"trueskill.Rating(mu=29.413, sigma=0.800)","trueskill.Rating(mu=27.135, sigma=0.800)","trueskill.Rating(mu=29.350, sigma=0.800)","trueskill.Rating(mu=27.198, sigma=0.800)"
2340939,526,180,6.0,1.11,2,0.245,0.755,"trueskill.Rating(mu=27.720, sigma=1.118)","trueskill.Rating(mu=21.875, sigma=3.575)","trueskill.Rating(mu=27.646, sigma=1.121)","trueskill.Rating(mu=22.739, sigma=3.840)"
2340937,224,111,1.72,2.0,2,0.528,0.472,"trueskill.Rating(mu=26.929, sigma=0.800)","trueskill.Rating(mu=26.673, sigma=2.074)","trueskill.Rating(mu=26.842, sigma=0.800)","trueskill.Rating(mu=27.293, sigma=2.155)"
2341017,363,248,1.72,2.0,1,0.491,0.509,"trueskill.Rating(mu=26.921, sigma=0.799)","trueskill.Rating(mu=26.880, sigma=0.817)","trueskill.Rating(mu=26.834, sigma=0.800)","trueskill.Rating(mu=26.972, sigma=0.818)"
2340899,347,177,1.0,21.0,1,0.834,0.16600000000000004,"trueskill.Rating(mu=28.770, sigma=0.796)","trueskill.Rating(mu=18.819, sigma=5.762)","trueskill.Rating(mu=28.748, sigma=0.793)","trueskill.Rating(mu=20.245, sigma=6.464)"
2340900,660,558,4.33,1.2,1,0.362,0.638,"trueskill.Rating(mu=24.953, sigma=1.738)","trueskill.Rating(mu=26.496, sigma=0.799)","trueskill.Rating(mu=24.419, sigma=1.789)","trueskill.Rating(mu=26.604, sigma=0.800)"
2340866,652,193,1.9,1.8,2,0.579,0.421,"trueskill.Rating(mu=27.644, sigma=0.794)","trueskill.Rating(mu=28.636, sigma=0.803)","trueskill.Rating(mu=27.545, sigma=0.795)","trueskill.Rating(mu=28.737, sigma=0.804)"
2340867,594,213,2.62,1.44,2,0.09299999999999997,0.907,"trueskill.Rating(mu=26.878, sigma=0.807)","trueskill.Rating(mu=16.036, sigma=4.661)","trueskill.Rating(mu=26.863, sigma=0.804)","trueskill.Rating(mu=16.615, sigma=4.948)"
2340940,301,192,1.53,2.37,2,0.5589999999999999,0.441,"trueskill.Rating(mu=27.685, sigma=0.854)","trueskill.Rating(mu=28.370, sigma=0.798)","trueskill.Rating(mu=27.575, sigma=0.856)","trueskill.Rating(mu=28.466, sigma=0.798)"
