ID,Team.1.Odds,Team.2.Odds,Outcome,Prob.Team.1,Prob.Team.2,prediction,TK1,TK2
2346912,2.5,1.4999999999999993,1,0.382,0.618,2,0.0,0.0
2319896,1.6599999999999995,2.1000000000000005,1,0.564,0.436,1,0.0,0.0
2347753,2.370000000000001,1.5300000000000002,1,0.214,0.786,2,0.0,0.04
2317935,1.3599999999999994,3.0000000000000027,1,0.8,0.2,1,0.02,0.0
2321944,2.1000000000000005,1.6599999999999995,2,0.566,0.434,1,0.02,0.0
2314425,1.28,3.499999999999996,1,0.73,0.27,1,0.0,0.0
2334861,1.5300000000000002,2.370000000000001,1,0.39,0.61,2,0.0,0.03
2329716,1.3599999999999994,3.0000000000000027,1,0.77,0.23,1,0.01,0.0
2317650,1.3000000000000005,3.3999999999999946,2,0.674,0.326,1,0.0,0.0
2328730,1.6100000000000008,2.1999999999999975,1,0.488,0.512,2,0.0,0.01
2343712,1.6100000000000008,2.1999999999999975,2,0.444,0.556,2,0.0,0.02
2343670,1.25,3.7499999999999956,1,0.892,0.108,1,0.05,0.0
2315697,1.3300000000000005,3.249999999999997,1,0.728,0.272,1,0.0,0.0
2319559,1.28,3.499999999999996,1,0.862,0.138,1,0.04,0.0
2333282,1.28,3.499999999999996,1,0.732,0.268,1,0.0,0.0
2329499,1.25,3.7499999999999956,1,0.492,0.508,2,0.0,0.03
2347485,1.5699999999999992,2.250000000000002,1,0.7819459459459459,0.21805405405405406,1,0.04,0.0
2327584,2.749999999999997,1.4000000000000001,2,0.502,0.498,1,0.02,0.0
2336710,1.1199999999999999,5.499999999999994,1,0.904,0.096,1,0.01,0.0
2319919,1.7200000000000009,2.0,1,0.472,0.528,2,0.0,0.01
2318606,3.0000000000000027,1.3599999999999994,2,0.366,0.634,2,0.0,0.0
2345211,3.499999999999996,1.28,2,0.302,0.698,2,0.0,0.0
2327427,4.500000000000004,1.1600000000000006,2,0.144,0.856,2,0.0,0.0
2313981,1.7999999999999985,1.9000000000000008,2,0.634,0.366,1,0.02,0.0
2331047,1.25,3.7499999999999956,1,0.472,0.528,2,0.0,0.04
2345727,1.2000000000000004,4.330000000000002,1,0.842,0.158,1,0.01,0.0
2336725,1.0600000000000003,8.0,1,0.95,0.05,1,0.01,0.0
2326198,3.3999999999999946,1.3000000000000005,2,0.198,0.802,2,0.0,0.01
2328424,1.6100000000000008,2.1999999999999975,1,0.512,0.488,1,0.0,0.01
2346918,1.7200000000000009,2.0,2,0.508,0.492,1,0.0,0.0
2343647,1.7200000000000009,2.0,2,0.362,0.638,2,0.0,0.03
2313919,1.4999999999999993,2.5,1,0.55,0.45,1,0.0,0.01
2315935,3.249999999999997,1.3300000000000005,2,0.2,0.8,2,0.0,0.02
2327132,3.0000000000000027,1.3599999999999994,2,0.288,0.712,2,0.0,0.0
2327367,1.4999999999999993,2.5,1,0.526,0.474,1,0.0,0.01
2322020,1.7200000000000009,2.0,1,0.662,0.338,1,0.02,0.0
2320058,3.0000000000000027,1.3599999999999994,2,0.326,0.674,2,0.0,0.0
2314420,1.08,6.999999999999992,1,0.6,0.4,1,0.0,0.03
2340549,1.28,3.499999999999996,1,0.682,0.318,1,0.0,0.0
2340640,1.3599999999999994,3.0000000000000027,1,0.91,0.09,1,0.07,0.0
2341682,1.6100000000000008,2.1999999999999975,1,0.592,0.408,1,0.0,0.0
2326843,6.999999999999992,1.08,2,0.166,0.834,2,0.0,0.0
2345731,1.440000000000001,2.62,1,0.836,0.164,1,0.05,0.0
2341601,1.7999999999999985,1.9000000000000008,1,0.414,0.586,2,0.0,0.01
2314759,2.0,1.7200000000000009,2,0.466,0.534,2,0.0,0.0
2345206,2.1000000000000005,1.6599999999999995,1,0.34,0.66,2,0.0,0.01
2323798,2.250000000000002,1.5699999999999992,2,0.384,0.616,2,0.0,0.0
2332063,2.370000000000001,1.5300000000000002,1,0.396,0.604,2,0.0,0.0
2331064,1.1400000000000003,5.0,2,0.574,0.426,1,0.0,0.03
